file	qid	designer	link	designer2
چشمان سیاه (پوستر ۲).jpg	Q2962830	اهورا		
چشمان سیاه (پوستر).jpg	Q2962830	مریم صفری	Q131701097	
چشمهایش (پوستر).jpg	Q14755958	بهزاد خورشیدی		
چند تار مو (پوستر).jpg	Q14755753	بهزاد خورشیدی		
چند می‌گیری گریه کنی؟ (پوستر ۱).jpg	Q5672071	پیام سنماری		
چند می‌گیری گریه کنی؟ (پوستر ۲).jpg	Q5672071	بهزاد خورشیدی		
چهارشنبه‌سوری (پوستر ۱).jpg	Q1419056	جواد آتشباری		
چهارشنبه‌سوری (پوستر ۲).jpg	Q1419056	جواد آتشباری		
چهره (پوستر).jpg	Q5890084	حیدر رضایی		
حادثه در کندوان (پوستر).jpg	Q14756118	محمدعلی باطنی		
حرفه‌ای (پوستر).jpg	Q14756071	حدت		
حریف دل (پوستر ۲).jpg	Q14756072	محمدعلی باطنی		
حریف دل (پوستر).jpg	Q14756072	محمدعلی باطنی		
حكم (پوستر ۲).jpg	Q5878201	-		
حکم (پوستر ۱).jpg	Q5878201	-		
حماسه قهرمانان (پوستر).jpg	Q14756037	محمدعلی باطنی		
خانه‌ای روی آب (پوستر ۱).jpg	Q12346586	حمید کریلی (picture world)		
خانه‌ای روی آب (پوستر).jpg	Q12346586	ساعد مشکی		میترا محاسنی (عکس)
خدا می‌آید (پوستر).jpg	Q136373393	دپارتمان گرافیک راه‌شهر		
خفاش (پوستر).jpg	Q14756038	محمدعلی باطنی		
خواب سفید (پوستر).jpg	Q5711740	احسان برآبادی		نادر پیرزاد (عکس)
خوابگاه دختران (پوستر).jpg	Q5951967	بهزاد خورشیدی		
خواهران غریب (پوستر).jpg	Q3235689	حیدر رضایی		
خیلی دور خیلی نزدیک (پوستر ۱).jpg	Q7549060	بهزاد سلیمانی		
خیلی دور خیلی نزدیک (پوستر ۲).jpg	Q7549060	بهزاد سلیمانی		
داستانهای جزیره (پوستر).jpg	Q5723375	-		
دام (پوستر).jpg	Q14756119	محمدعلی باطنی		
دان (پوستر انگلیسی).jpg	Q5949322	-		
دان (پوستر ژاپنی).jpg	Q5949322	-		
دایره سرخ (پوستر).jpg	Q14756120	محمدعلی باطنی		
دختر ایرونی (پوستر).jpg	Q5948181	بهزاد خورشیدی		
دختر شیرینی‌فروش (پوستر ۱).jpg	Q5713813	-		
دختر شیرینی‌فروش (پوستر).jpg	Q5713813	بهزاد خورشیدی		علی نیک‌رفتار (عکس)
دختران انتظار (پوستر).jpg	Q5933722	-		
دختری با کفشهای کتانی (پوستر انگلیسی).jpg	Q4156463	م مظاهری‌پور		
دخیل (پوستر).jpg	Q14755877	همرنگ دات کام		
دربه‌درها (پوستر ۱).jpg	Q14755715	-		
دربه‌درها (پوستر ۲).jpg	Q14755715	نازنین آذری		
درخت جان (پوستر).jpg	Q14756121	-		
درخت گلابی (پوستر).jpg	Q4150897	-		
دستهای آلوده (پوستر ۱).jpg	Q5944304	پیام		
دستهای آلوده (پوستر ۲).jpg	Q5944304	امیر بلوریان		
دشمن (پوستر).jpg	Q14756122	حیدر رضایی		
دکل (پوستر).jpg	Q14756123	حیدر رضایی		
دنیای آینده (پوستر).jpg	Q136373367	پیام سنماری		
دوئل (پوستر ۱).jpg	Q5948586	-		
دوئل (پوستر ۲).jpg	Q5948586	-		
دوئل (پوستر ۳).jpg	Q5948586	-		
دوئل (پوستر ۴).jpg	Q5948586	-		
دوئل (پوستر ۵).jpg	Q5948586	-		
دوئل (پوستر ۶).jpg	Q5948586	-		
دوئل (پوستر ۷).jpg	Q5948586	-		
دوئل (پوستر ۸).jpg	Q5948586	-		
دوئل (پوستر ۹).jpg	Q5948586	-		
دوستان (پوستر ۱).jpg	Q5771169	علیرضا گلدوزیان		
دوستان (پوستر ۲).jpg	Q5771169	علیرضا گلدوزیان		
دوشیزه (پوستر).jpg	Q14755838	بهزاد خورشیدی		امیر عابدی (عکس)
دیپلمات (پوستر).jpg	Q5944105	حیدر رضایی		
دیشب باباتو دیدم آیدا (پوستر ۱).jpg	Q5729020	علی میرفتاح		
دیشب باباتو دیدم آیدا (پوستر ۲).jpg	Q5729020	علی میرفتاح		
دیوانه از قفس پرید (پوستر ۱).jpg	Q14756031	حیدر رضایی		
دیوانه از قفس پرید (پوستر ۲).jpg	Q14756031	حیدر رضایی		
راز مینا (پوستر).jpg	Q14756077	حیدر رضایی		
رازها (پوستر ۲).jpg	Q5724417	بهزاد خورشیدی		
رازها (پوستر).jpg	Q5724417	بهزاد خورشیدی		
رز زرد (پوستر ۱).jpg	Q5809670	بهزاد خورشیدی		
رز زرد (پوستر ۲).jpg	Q5809670	بهزاد خورشیدی		
رستگاری در هشت و بیست دقیقه (پوستر ۱).jpg	Q5936688	بهزاد خورشیدی		
رستگاری در هشت و بیست دقیقه (پوستر ۲).jpg	Q5936688	طاهره محبی تابان		همرنگ دات کام
رسم عاشق‌کشی (پوستر ۱).jpg	Q14755843	-		
رسم عاشق‌کشی (پوستر ۲).jpg	Q14755843	امید میرزاپور		
رقص خاک (پوستر).jpg	Q5957780	-		
رقص در غبار (پوستر).jpg	Q2913918	وحید تقی‌پور - تصویرگران		
رنجر (پوستر).jpg	Q14755963			
رنگ خدا (پوستر).jpg	Q80608			
رنگ شب (پوستر ۲).jpg	Q14755926			
رنگ شب (پوستر).jpg	Q14755926			
روانی (پوستر).jpg	Q14755925			
روبان قرمز (پوستر).jpg	Q14755227			
روز دیدنی (پوستر ۲).jpg	Q14756175			
روز دیدنی (پوستر).jpg	Q14756175			
روز کارنامه (پوستر ۲).jpg	Q14755961			
روز واقعه (پوستر ۱).jpg	Q14755949			
روز واقعه (پوستر ۲).jpg	Q14755949			
روزگار ما (پوستر ۱).jpg	Q14755971			
روزی که زن شدم (پوستر ۱).jpg	Q3223688			
روزیی که زن شدم (پوستر ۲).jpg	Q3223688			
روسری آبی (پوستر انگلیسی).jpg	Q3442812			
روسری آبی (پوستر).jpg	Q3442812			
روی خط مرگ (پوستر).jpg	Q14756079			
رویای خیس (پوستر ۱).jpg	Q14755677			
رویای خیس (پوستر ۲).jpg	Q14755677			
رویای نیمه‌شب تابستان (پوستر).jpg	Q14755186			
زخمی (پوستر).jpg	Q14756043			
زمانی برای مستی اسبها (پوستر).jpg	Q185803			
زن امروز (پوستر).jpg	Q14756021			
زن بدلی (پوستر).jpg	Q14756031			
زن شرقی (پوستر).jpg	Q14756044			
زندان زنان (پوستر).jpg	Q5954764			
زندگی (پوستر ۲).jpg	Q14756043			
زندگی (پوستر).jpg	Q14756043			
زهر عسل (پوستر).jpg	Q5943768			
زیبا و زشت (پوستر).jpg	Q14756000			
زیر پوست شهر (پوستر).jpg	Q14756066			
زیر درخت هلو (پوستر ۱).jpg	Q14756054			
زیر درخت هلو (پوستر ۲).jpg	Q14756054			
زیر نور ماه (پوستر).jpg	Q4101731			
ساحره (پوستر).jpg	Q14756077			
سارای (پوستر).jpg	Q14756089			
ساقی (پوستر ۱).jpg	Q14756099			
ساقی (پوستر ۲).jpg	Q14756099			
ساقی (پوستر ۳).jpg	Q14756099			
ساقی (پوستر).jpg	Q14756099			
سام و نرگس (پوستر ۱).jpg	Q5846395			
سام و نرگس (پوستر ۲).jpg	Q5846395			
سام و نرگس (پوستر ۳).jpg	Q5846395			
سام و نرگس (پوستر ۴).jpg	Q5846395			
سایه روشن (پوستر).jpg	Q14755881			
ستاره است (پوستر).jpg	Q14756000			
ستاره ها (پوستر).jpg	Q5920330			
سربازهای جمعه (پوستر ۱).jpg	Q5941552			
سربازهای جمعه (پوستر ۲).jpg	Q5941552			
سربازهای جمعه (پوستر ۳).jpg	Q5941552			
سربازهای جمعه (پوستر ۴).jpg	Q5941552			
سرگیجه (پوستر).jpg	Q5884769			
سرود تولد (پوستر ۱).jpg	Q5843792			
سرود تولد (پوستر ۲).jpg	Q5843792			
سرود تولد (پوستر).jpg	Q5843792			
سفر (پوستر).jpg	Q3228244			
سفر به چزابه (پوستر).jpg	Q14756128			
سفر به فردا (پوستر).jpg	Q14755884			
سفر شبانه (پوستر).jpg	Q14756047			
سکوت (پوستر).jpg	Q2589295			
سکوت کوهستان.jpg	Q14756130			
سگ‌کشی (پوستر ۱).jpg	Q3541864			
سگ‌کشی (پوستر ۲).jpg	Q3541864			
سگ‌کشی (پوستر ۳).jpg	Q3541864			
سلام به انتظار (پوستر).jpg	Q14756131			
سلام سینما (پوستر ۲).jpg	Q3112002			
سلام سینما (پوستر انگلیسی ۲).jpg	Q3112002			
سلام سینما (پوستر انگلیسی).jpg	Q3112002			
سلطان (پوستر).jpg	Q5873882			
سهراب (پوستر).jpg	Q5904547			
سوغات فرنگ (پوستر).jpg	Q5909409			
سیاوش (پوستر).jpg	Q5855644			
سیب (پوستر).jpg	Q595660			
سینما سینماست (پوستر).jpg	Q5841292			
شاخ گاو (پوستر).jpg	Q14756132			
شاخه گلی برای عروس (پوستر).jpg	Q5866009			
شارلاتان (پوستر ۱).jpg	Q5779820			
شارلاتان (پوستر ۲).jpg	Q5779820			
شام عروسی (پوستر).jpg	Q5907979			
شاه خاموش (پوستر).jpg	Q14755804			
شب روباه (پوستر).jpg	Q14755184			
شب یلدا (پوستر).jpg	Q3211200			
شبهای تهران (پوستر).jpg	Q3346188			
شبهای روشن (پوستر).jpg	Q5946529			
شبیخون (پوستر).jpg	Q14756050			
شراره (پوستر).jpg	Q14755967			
شغال (پوستر).jpg	Q14755685			
شکلات (پوستر).jpg	Q5830303			
شمارش معکوس (پوستر).jpg	Q14756051			
شمعی در باد (پوستر ۱).jpg	Q5685007			
شمعی در باد (پوستر ۲).jpg	Q5685007			
شمعی در باد (پوستر).jpg	Q5685007			
شهر زنان (پوستر ۱).jpg	Q14756001			
شهر زنان (پوستر ۲).jpg	Q14756001			
شهردار مدرسه (پوستر).jpg	Q14756052			
شوخی (پوستر).jpg	Q14755968			
شور زندگی (پوستر).jpg	Q14756002			
شوک (پوستر).jpg	Q14756084			
شوکران (پوستر).jpg	Q5941291			
شیدا (پوستر).jpg	Q14756003			
شیرین و فرهاد (۱۳۷۴) (پوستر).jpg	Q14756134			
شیفته (پوستر).jpg	Q14755932			
صدای سخن عشق (پوستر).jpg	Q14755933			
ضیافت (پوستر).jpg	Q5713995			
طالع سعد (پوستر).jpg	Q14756135			
طبل بزرگ زیر پای چپ (پوستر).jpg	Q4906729			
طعم گیلاس (پوستر).jpg	Q794178			
طوطيا (پوستر).jpg	Q14755235			
عاشقانه (پوستر).jpg	Q14756137			
عروس آتش (پوستر ۱).jpg	Q5956103			
عروس آتش (پوستر ۲).jpg	Q5956103			
عروس خوش‌قدم (پوستر).jpg	Q5679917			
عروس فراری (پوستر ۱).jpg	Q5922896			
عروس فراری (پوستر ۲).jpg	Q5922896			
عروس کاغذی (پوستر).jpg	Q14756140			
عروسک فرنگی (پوستر).jpg	Q5872831			
عشق بدون مرز (پوستر).jpg	Q14756005			
عشق شیشه‌ای (پوستر).jpg	Q14755970			
عشق طاهر (پوستر ۱).jpg	Q14755971			
عشق طاهر (پوستر ۲).jpg	Q14755971			
عشق گمشده (پوستر).jpg	Q14755183			
عشق+۲ (پوستر).jpg	Q14756004			
عطش (پوستر ۱).jpg	Q5872392			
عطش (پوستر ۲).jpg	Q5872392			
عقرب (پوستر ۱).jpg	Q14756087			
عقرب (پوستر ۲).jpg	Q14756087			
علی و دنی (پوستر ۱).jpg	Q14755935			
علی و دنی (پوستر ۲).jpg	Q14755935			
عینک دودی (پوستر).jpg	Q14755972			
غروب شد بیا (پوستر).jpg	Q14755723			
غریبانه (پوستر).jpg	Q5732134			
غزال (پوستر).jpg	Q14756141			
فاتح (پوستر).jpg	Q5871710			
فرار از جهنم (پوستر).jpg	Q14756088			
فرار بزرگ (پوستر).jpg	Q14756053			
فرار مرگبار (پوستر).jpg	Q14756142			
فرش باد (پوستر ۱).jpg	Q4225956			
فرش باد (پوستر ۲).jpg	Q4225956			
فوتبالیستها (پوستر).jpg	Q14755936			
قانون (پوستر).jpg	Q14756145			
قدمگاه (پوستر).jpg	Q5940184			
قصه‌های بازار (پوستر ۱).jpg	Q14756146			
قصه‌های بازار (پوستر ۲).jpg	Q14756146			
قصه‌های کیش (پوستر).jpg	Q5725014			
قله دنیا (پوستر).jpg	Q14756147			
کاغذ بی‌خط (پوستر).jpg	Q3362875			
کافه ترانزیت (پوستر).jpg	Q2933031			
کافه ستاره (پوستر).jpg	Q5936105			
کاکادو (پوستر).jpg	Q5762316			
کلاه قرمزی و سروناز (پوستر ۱).jpg	Q5944257			
کلاه قرمزی و سروناز (پوستر ۲).jpg	Q5944257			
کلید ازدواج (پوستر).jpg	Q7639319			
کما (پوستر).jpg	Q5924630			
کمیته مجازات (پوستر).jpg	Q5949396			
کودک و سرباز (پوستر).jpg	Q14755974			
کیسه برنج (پوستر).jpg	Q5715184			
گارد ویژه (پوستر).jpg	Q5824187			
گاهی به آسمان نگاه کن (پوستر ۱).jpg	Q5947258			
گاهی به آسمان نگاه کن (پوستر ۲).jpg	Q5947258			
گبه (پوستر ۲).jpg	Q3288099			
گبه (پوستر انگلیسی).jpg	Q3288099			
گبه (پوستر).jpg	Q3288099			
گرداب (پوستر).jpg	Q5736933			
